City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
puerto ayora,-0.7393,-90.3518,69.78,85,91,12.68,EC,1634773921
busselton,-33.65,115.3333,60.04,68,93,15.61,AU,1634773921
cape town,-33.9258,18.4232,62.1,78,0,3.0,ZA,1634773635
saint-philippe,-21.3585,55.7679,72.95,78,41,10.31,RE,1634773922
ushuaia,-54.8,-68.3,49.66,40,20,11.5,AR,1634773922
nemuro,43.3236,145.575,48.63,66,100,14.83,JP,1634773852
rikitea,-23.1203,-134.9692,74.64,69,20,21.18,PF,1634773665
new norfolk,-42.7826,147.0587,66.65,49,100,3.0,AU,1634773771
vredendal,-31.6683,18.5012,63.19,63,79,5.12,ZA,1634773923
punta arenas,-53.15,-70.9167,48.31,53,20,12.66,CL,1634773656
hobart,-42.8794,147.3294,67.01,57,75,1.99,AU,1634773662
san patricio,28.017,-97.5169,84.92,65,22,9.22,US,1634773923
neman,55.0311,22.0264,59.31,63,100,15.97,RU,1634773924
henties bay,-22.116,14.2845,56.43,95,21,9.6,NA,1634773924
mataura,-46.1927,168.8643,55.69,45,88,2.04,NZ,1634773924
bluff,-46.6,168.3333,49.55,55,91,5.44,NZ,1634773925
palmas,-10.2128,-48.3603,84.07,65,20,4.61,BR,1634773925
east london,-33.0153,27.9116,62.15,82,44,11.83,ZA,1634773703
georgetown,5.4112,100.3354,76.93,94,40,5.01,MY,1634773926
upernavik,72.7868,-56.1549,32.56,99,100,8.68,GL,1634773762
navolato,24.7672,-107.6944,87.13,65,1,11.07,MX,1634773926
suluq,31.6682,20.2521,66.99,60,50,7.94,LY,1634773927
nanchang,28.6833,115.8833,53.31,87,100,7.7,CN,1634773927
marawi,7.9986,124.2928,69.66,83,100,2.08,PH,1634773928
south venice,27.0531,-82.4243,81.0,63,51,8.05,US,1634773928
beinamar,8.6698,15.3813,72.57,87,100,3.15,TD,1634773928
staryy nadym,65.6118,72.6842,31.03,77,100,3.98,RU,1634773929
nea alikarnassos,35.3333,25.1667,64.08,73,20,8.05,GR,1634773929
rocha,-34.4833,-54.3333,51.53,89,20,6.51,UY,1634773930
kodiak,57.79,-152.4072,44.11,81,90,9.22,US,1634773652
oksfjord,70.2396,22.3479,29.32,91,100,10.22,NO,1634773930
hilo,19.7297,-155.09,80.33,67,40,11.5,US,1634773716
anadyr,64.75,177.4833,23.5,93,90,13.42,RU,1634773796
avarua,-21.2078,-159.775,77.05,65,75,9.22,CK,1634773931
arraial do cabo,-22.9661,-42.0278,62.56,94,75,0.0,BR,1634773931
pisco,-13.7,-76.2167,62.65,77,0,19.57,PE,1634773860
boa vista,2.8197,-60.6733,85.98,62,75,3.44,BR,1634773931
hithadhoo,-0.6,73.0833,81.57,73,100,9.66,MV,1634773650
barrow,71.2906,-156.7887,28.42,86,90,21.85,US,1634773932
susanville,40.4163,-120.653,53.44,70,75,10.0,US,1634773932
grindavik,63.8424,-22.4338,43.27,75,75,18.41,IS,1634773658
yar-sale,66.8333,70.8333,28.45,85,90,6.4,RU,1634773933
hermanus,-34.4187,19.2345,61.81,84,88,4.32,ZA,1634773661
cairns,-16.9167,145.7667,90.95,77,75,10.36,AU,1634773651
dikson,73.5069,80.5464,27.88,57,88,10.71,RU,1634773933
khatanga,71.9667,102.5,25.54,97,100,4.88,RU,1634773693
manado,1.487,124.8455,81.37,94,20,0.0,ID,1634773934
kushmurun,52.4503,64.6311,39.88,87,97,15.1,KZ,1634773934
ponta do sol,32.6667,-17.1,74.03,79,100,6.85,PT,1634773697
